 4. 患有精神疾病或其他严重基础疾病（呼吸循环系统慢性疾病，肝肾疾病，血液、免疫系统疾病，神经肌肉系统疾病，内分泌系统疾病）或各项临床检测指标（BUN、Cr、ALT等）超过正常参考值上限的2倍者；	Multiple
① 符合慢性乙型肝炎部分应答诊断标准的患者；	Diagnostic
 2.有以下疾病或病史：	Disease
 2、hiv、hbv、hcv及梅毒检测阳性；	Laboratory Examinations
 c)病理提示有MVI（微血管癌栓）；	Diagnostic
 2.在入组前2周已按照疾病治疗原则完成相关手术、放疗、化疗、介入等相关治疗；	Therapy or Surgery
1、确诊的HIV/AIDS患者。	Diagnostic
1、患肢合并有腕关节功能障碍或者尺桡骨干畸形愈合等影响前臂旋转功能的疾患；	Disease
 ②临床诊断为泪道阻塞或慢性泪囊炎	Diagnostic
（1）18-45岁女性；	Multiple
 有药物过敏史和对环境物质高度敏感者；	Allergy Intolerance
 11)不愿意加入本实验、拒绝签署知情同意书或综合判断依从性较差的患者。	Multiple
1. 目前正在服用糖皮质激素类药物或免疫抑制剂者，如羟氯喹、环孢素、硫唑嘌呤等；	Pharmaceutical Substance or Drug
 具有脑梗死或其他中枢神经系统疾病病史；	Disease
 -合并心血管、脑血管、肝、肾和造血系统等严重原发性疾病	Disease
1)饱胃且需清醒插管的全麻患者；	Therapy or Surgery
 h)皮肤痤疮、红肿等；	Disease
 （7）尿常规提示急慢性尿路感染；	Diagnostic
 2. 18～45 周岁中国健康成年男性志愿者。	Multiple
 o)试验前3个月及试验期间服用软毒品（如：大麻）或试验前一年及试验期间服用硬毒品（如：可卡因、苯环己哌啶，等）者；	Addictive Behavior
 11）女性受试者处于妊娠及哺乳期	Pregnancy-related Activity
1)既往参加过沙利度胺片临床试验的患者；	Enrollment in other studies
    ? 白细胞计数 (WBC)≥3000/mm3，	Laboratory Examinations
（1）使用过任何镇痛镇静药，正在使用其他存在嗜睡、恶心呕吐等副反应的药物；	Pharmaceutical Substance or Drug
 6）由于性别对预后及MRI检查无明显影响，故本研究不限制性别。	Gender
 所有实验室检测结果应当在上述稳定范围内，且没有持续性支持治疗。	Therapy or Surgery
 14）同时参与其他临床研究者	Enrollment in other studies
 7.血清肌酐≤2.0mg/dL（176.8μmol/L）	Laboratory Examinations
 7.具有心脏起搏器；	Device
 ④ 术前控制血压在160/100 mmHg以下，空腹血糖在9.5 mmol /L 以下，无发热、休克等症状，排除绝对手术禁忌；	Multiple
 5)癫痫病史者，或器质性精神障碍患者；	Disease
 4)术后病理非甲状腺乳头状癌	Diagnostic
 1. 口内有20-22颗牙（乳牙列或混合牙列）；	Oral related
 11、严重的周围神经受损影响本试验评估的受试者；	Disease
 持续性的低氧血症（氧饱和度&lt; 94%且大于30分钟）；	Disease
 3. 在&lt;40岁患者有诊断哮喘的病史。但是在≥40岁患者有诊断哮喘病史的可以入选试验；	Multiple
承诺在参加试验后四周不会发生任何无保护性的性行为	Sexual related
 （5）年龄≥18岁	Age
 3.Hachinski 缺血评分≤4分；	Risk Assessment
（1）高血压合并下列病变：6个月内有脑血管意外、心肌梗塞或心力衰竭病史；大动脉瘤或夹层动脉瘤；明确的心绞痛；恶性或潜在恶性心律失常；	Disease
 13、有肝肾功能不全患者。	Organ or Tissue Status
 2、TOAST分型包括大动脉粥样硬化性卒中和小动脉闭塞性卒中或腔隙性卒中.	Disease
 3）预计患者住院时间≥24小时；	Therapy or Surgery
 ②中风前有精神病史或家族精神病史，中风后伴有意识障碍，智能障碍；	Disease
 年龄18-70岁，能理解各项量表及测试内容；	Multiple
 ?入院前大剂量服用皮质醇类激素（&gt;200mg/d）或服用免疫抑制剂	Pharmaceutical Substance or Drug
 19) 研究者认为有不适应参加试验的其它因素者。	Researcher Decision
 3. 年龄6-75周岁，性别不限；	Multiple
 2、四肢创伤性骨折；	Disease
 7.近1个月内参加过其他药物临床试验的患者；	Enrollment in other studies
 1. 残根、大面积残冠及预成冠；	Disease
1）既往Hp根除治疗失败的患者	Therapy or Surgery
 2. 300mg/g(&gt; 30mg/mmol) &gt;ACR≥30mg/g(3mg/mmol)。	Laboratory Examinations
 （4）12个月内进行原位心脏移植或安装心室辅助装置；	Therapy or Surgery
(1)处于活动期的牙周病患者或有严重牙龈退缩者；	Non-Neoplasm Disease Stage
 （4）过去3个月内使用过抗生素，并持续3天或以上；	Pharmaceutical Substance or Drug
 （5）近一月之内未使用肠道排毒药（肾衰宁、尿毒清、药用炭等）、益生菌、铋剂、抑酸药以及抗生素；	Multiple
 （5）非HBV的其他病毒感染的急慢性肝炎、HCV感染、HDV感染、自身免疫性肝炎、原发性胆汁性肝硬化、原发性硬化性胆管炎、遗传代谢性肝病、药物或毒物性肝炎、酒精性肝病；	Disease
 5、年龄30-80岁	Age
 （9）近3个月内参加其他药物临床试验者；	Enrollment in other studies
1.T细胞淋巴瘤患者；	Disease
 2、闭经或月经稀发时间至少3到6个月；	Disease
 10. 已签署知情同意书	Consent
